,VCS_coef,VCS_pval,CDM_coef,CDM_pval,VCS_sig,CDM_sig,Diff,t_stat,p_diff,Diff_sig
log_t_actual_years,0.5700724037467677,2.529909263259935e-06,-0.618585973679275,7.882672855307993e-91,***,***,1.1886583774260426,9.807774021505946,0.0,***
Intercept,-1.4861401632978288,2.8519966811273957e-09,0.5546209179662933,8.180977366465202e-64,***,***,-2.0407610812641224,-8.365985767150551,2.220446049250313e-16,***
Tech_Biomass_and_Waste[T.True],-2.6966085312698693,3.0815067070126695e-09,-0.17887425608990562,0.002278856812644291,***,**,-2.5177342751799636,-5.664271968543258,2.0810424272710293e-08,***
Tech_Energy_Efficiency[T.True],0.4388550602537695,0.0420568860143725,-1.5791746878505062,0.001604219275146187,*,**,2.0180297481042757,3.722471628216048,0.00021155914351567162,***
Tech_Other[T.True],0.943138413846933,0.010109031421359854,-0.2785420741084528,0.0004635191345829469,*,***,1.2216804879553858,3.2777717035844254,0.0010929261687664393,**
Tech_Industrial_Gases[T.True],1.971005448917793e-16,0.021195834967720192,-0.38745346747346526,0.024630315000251285,*,*,0.3874534674734655,2.2541229177572437,0.024466984683209514,*
Scale_Large,-0.8486897219332855,0.06107284414894775,-0.050253027338954995,0.3597268199388811,,,-0.7984366945943305,-1.7561305342326405,0.07946108517766048,
Tech_Other_Renewable[T.True],-0.17152510612866526,0.470330155309412,-0.007662931992066149,0.9406442276400807,,,-0.1638621741365991,-0.6336294800748488,0.5265096054780241,
Is_International,0.7457322915240884,0.029626429473321062,0.5546209179662931,8.180977366465202e-64,*,***,0.19111137355779528,0.5583064065824842,0.5767964246102268,
Tech_Hydro[T.True],-1.8572338473449187e-16,0.1415230718020247,0.026708415170602726,0.7207208205947908,,,-0.026708415170602913,-0.3577018054765157,0.720663874819099,
Tech_Solar[T.True],0.0,,-0.0058251095235659425,0.9619038531436431,,,0.0058251095235659425,0.04778907690190165,0.9618966540633189,
